ENGLISH,bodo
Two of the best trains viz. Shatabdi express (between Delhi and Bhopal) and Taj Express (between Delhi and Gwalior) are available to access Agra.,रोखोमनै साबसिन त्रेइन जेरै- सताबदि अक्सप्रेस (देलही आरो भुपालनि गेजेराव) आरो ताज एक्सप्रेसनि (दिल्ली आरो गवालिरनि गेजेराव) आग्रासिम हाबग्रा लामाया थोजासे रोखोमनि। 
"Agra, on cross roads of national highways 2, 3 and 11, is excellently connected to all parts of the country.","राजा लामानि 2, 3, आरो 11 आ आग्रासिम थांनो थाखाय हादोरनि गासैबो रोखोमनि लामाफोरजों जोबोद मोजाङै फोनांजाबनाय।"
Kheria Airport (Airport of Agra) is about 6 km from the Agra city centre and is easily accessible by taxis and auto rickshaws at nominal rates.,सेरिया बिरखं गाथोना (आग्रानि बिरखं गाथोन) आरो नोगोरनिफ्राय 6.कि.मि. गोजानाव आरो जायगायावनो मोलाय अटʼ रिक्सायाव होनांनाय बेसेनाबो थि जखानि।
"Agra is well connected by excellent train services to Delhi such as The Shatabdi Express (2 hrs), Taj Express (2. 5 hrs), Intercity Express (3 hrs).","आग्रानिफअराय दिल्लीसिम थांनो थाखाय त्रेइननि फोनांजाब राहाया जोबोद मोजां लोगोसे मखʼजाथाव त्रेइनफोरा जाबाय- साताबदि एक्स-प्रेस( 2 घन्टा) ताज अक्सप्रेस (2,5 घन्टा) इन्टारसिति अक्सप्रेस (3 घन्टा)।"
"Agra is the one of the prominent destinations of the World Tourism map with three heritage monuments, Taj Mahal, Red Fort & Fatehpur Sikri.",बुहुमनि दावबायारिफोरनि थाखाय आग्रानि मुंदांखा नायनो गोनां मान-सावगारिजों लोगोसे मोनथाम रोखोमनि गोसोखांथिया- ताज महल रेद फर्ट आरो फातेहपुर सिकरि।
"**8Agra is more just a decadent city of graveyards and stones, but it is a vibrant centre of Culture, Art and Religious philosophies that have enriched mankind and shaped human thought over centuries.",आग्राया मोनसे बायखोन्दा आरो अन्थाइफोरनि गोजाम नोगोर नाथाय 
"Agra is situated in the State of Uttar Pradesh, India.",आग्राया भारत हादरनि उत्तर प्रदेस हादरसायाव दं।
Agra is famous as being home to one of the Seven Wonders of the World the Taj Mahal.,ताजमहलनि थाखाय आग्राया बुहुमनि मोन स्नि नेरसोनफोरनि मादाव मुंदांखा।
"The architectural splendor of the mausoleums, the fort and the palaces is a vivid remainder of the mausoleums, the fort and the palaces is a vivid reminder of the capital in the 16th and early 17th centuries.","मुसलियामिफोरनि दाथायफोर मुसलियामफोरनि मोनसे रोखा गोसोखांथि, 16 आरो गिबि 17 जौथायाव राजथावनिनि खरं आरो राजमहलफोर मोनसे रोखा गोसोखांथि।"
"While Agra’s significance as a political centre ended with the transfer of the capital to Delhi in 1634 by Shah Jahan, its architectural wealth has secured its place on the international map.",1634 मायथायाव साहजाहाना जेब्ला आग्रानि बायदि राजखान्थियारि मिरुखौ दिल्लीसिम लाबोयो अब्ला बेनि महर सोरजिखौ बुहुमनांभारि सामनासावगारि महरै बे जायगायाव लाखिनाय जायो।
